PCL_ID,ROAD,JUNCTION,POI_DENSIT,POP_DENSIT,MIXTURE,AMENITIES,ACCESSIBIL,A_TRANSPOR,A_AMENETIE,GDP,TERTIARY,INCOME,CITY_LEVEL,BUS,EDU,GOV,CVS,DCENTER,DSUBC,DRAIL,DTRAN,DGREEN,DMALL,DHOSPITAL,Y_DP_COMME,Y_LN_DP_CO,Y_HOUSINGP,Y_WEIBO,E_NAME,CITYID
142295,12322.5,68,33,895,1.47126,11.5,4.467,1.414,5.687,78047.0,75.51,66458.7,5,42,2.0,0,2.0,23.195,2.828,1.414,1.414,1.0,1.414,0.0,1,0.0,21037.0,15,Beijing,1
142296,5769.36,7,9,895,0.562173,2.0,4.784,1.618,6.05,78047.0,75.51,66458.7,5,8,0.0,0,0.0,23.087,3.162,2.236,1.0,2.0,1.0,1.0,2,0.693,21037.0,6,Beijing,1
142299,5839.35,36,27,0,0.896781,1.0,6.307,3.65,7.37,78047.0,75.51,66458.7,5,3,1.0,0,0.0,23.022,5.0,4.472,2.828,5.0,1.0,2.828,32,3.466,19354.0,26,Beijing,1
142380,5424.06,15,8,921,0.854062,1.75,5.89,3.328,6.915,78047.0,75.51,66458.7,5,6,0.0,1,0.0,28.16,1.414,5.657,1.0,2.0,1.0,2.0,7,1.946,9863.0,12,Beijing,1
142381,1225.1,4,1,1021,0.0,0.0,5.91,3.207,6.992,78047.0,75.51,66458.7,5,0,0.0,0,0.0,28.071,1.0,5.0,1.414,2.236,1.414,2.236,9,2.197,9863.0,1,Beijing,1
142389,5972.42,39,34,2653,1.5489,3.25,6.814,2.532,8.527,78047.0,75.51,66458.7,5,7,3.0,1,2.0,28.636,3.0,2.828,2.236,7.0,3.0,1.0,6,1.792,10436.0,69,Beijing,1
142390,4254.08,19,0,2045,-1.0,0.0,6.594,1.825,8.502,78047.0,75.51,66458.7,5,0,0.0,0,0.0,28.862,2.0,2.236,1.414,7.071,3.162,1.414,2,0.693,10436.0,19,Beijing,1
142391,6701.59,25,24,2697,1.04175,3.5,6.425,1.5,8.395,78047.0,75.51,66458.7,5,12,2.0,0,0.0,29.12,1.0,2.0,1.0,7.28,3.162,1.414,1,0.0,10436.0,1,Beijing,1
142392,5668.96,25,5,8243,0.200298,0.25,5.942,1.118,7.871,78047.0,75.51,66458.7,5,0,0.0,0,1.0,29.411,0.0,2.236,0.0,6.708,2.236,1.0,26,3.258,18934.0,4,Beijing,1
142393,8228.39,46,41,7998,1.42565,2.0,5.627,0.707,7.595,78047.0,75.51,66458.7,5,4,4.0,0,0.0,29.732,0.0,1.414,0.0,5.831,1.414,1.0,1,0.0,18934.0,32,Beijing,1
142394,15103.2,147,235,8243,1.90439,51.25,5.385,1.0,7.14,78047.0,75.51,66458.7,5,172,11.0,9,13.0,29.698,0.0,1.0,1.0,5.0,1.0,0.0,225,5.416,18934.0,173,Beijing,1
142395,11953.3,123,330,8425,1.76357,56.25,5.094,1.207,6.649,78047.0,75.51,66458.7,5,172,12.0,28,13.0,29.0,0.0,1.414,1.0,4.243,0.0,0.0,1082,6.987,20475.0,107,Beijing,1
142396,9587.27,73,173,8425,1.9077,12.25,4.906,1.207,6.385,78047.0,75.51,66458.7,5,17,13.0,8,11.0,28.32,0.0,1.0,1.414,3.606,0.0,0.0,1633,7.398,20475.0,1685,Beijing,1
142397,8388.74,57,19,8425,1.05112,3.0,4.935,0.5,6.71,78047.0,75.51,66458.7,5,7,0.0,0,5.0,28.425,0.0,1.0,0.0,4.123,1.0,0.0,313,5.746,20475.0,30,Beijing,1
142398,11546.5,53,10,8425,0.946184,4.5,4.972,0.0,6.961,78047.0,75.51,66458.7,5,10,3.0,0,5.0,27.803,0.0,0.0,0.0,4.0,2.0,1.0,253,5.533,20475.0,350,Beijing,1
142399,7584.02,49,4,658,0.0,0.0,5.391,0.5,7.348,78047.0,75.51,66458.7,5,0,0.0,0,0.0,27.203,1.0,0.0,1.0,4.123,3.0,1.414,11,2.398,20628.0,16,Beijing,1
